Plante;Description;Note;Details;Answer
aloe;aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;8;L'aloe s'adapte bien au climat océanique humide des Côtes-d'Armor grâce à sa tolérance à la sécheresse et à l'humidité, mais l'ensoleillement modéré et la présence de zones ombragées peuvent limiter son floraison optimale.;[8] - L'aloe s'adapte bien au climat océanique humide des Côtes-d'Armor grâce à sa tolérance à la sécheresse et à l'humidité, mais l'ensoleillement modéré et la présence de zones ombragées peuvent limiter son floraison optimale.
Amazon lily;Amazon lily est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle requiert des soins exigeants. Son entretien est facile. C’est une plante vivace.;8;La plante est adaptée au climat océanique humide des Côtes-d'Armor grâce à son besoin modéré en arrosage et sa tolérance à l'humidité, mais elle pourrait souffrir de la salinité sur le littoral exposé aux embruns.;8 - La plante est adaptée au climat océanique humide des Côtes-d'Armor grâce à son besoin modéré en arrosage et sa tolérance à l'humidité, mais elle pourrait souffrir de la salinité sur le littoral exposé aux embruns.
Amazonian elephant's ear;Amazonian elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle requiert des soins exigeants. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;Cette plante est mal adaptée au climat océanique humide des Côtes-d'Armor en raison de son faible tolerance à la salinité et de ses besoins en arrosage fréquents, malgré l'humidité élevée.;[5] - Cette plante est mal adaptée au climat océanique humide des Côtes-d'Armor en raison de son faible tolerance à la salinité et de ses besoins en arrosage fréquents, malgré l'humidité élevée.
angel wings;angel wings est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;Le climat océanique humide des Côtes-d'Armor est favorable pour l'angel wings grâce à une humidité élevée et un arrosage modéré, mais la salinité présente sur le littoral expose la plante à des conditions qu'elle tolère peu.;7 - Le climat océanique humide des Côtes-d'Armor est favorable pour l'angel wings grâce à une humidité élevée et un arrosage modéré, mais la salinité présente sur le littoral expose la plante à des conditions qu'elle tolère peu.
angelwing begonia;angelwing begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;L'angelwing begonia est adaptée au climat océanique humide des Côtes-d'Armor grâce à l'humidité élevée et les précipitations abondantes, mais la salinité sur le littoral et les zones ombragées peuvent poser des défis.;6 - L'angelwing begonia est adaptée au climat océanique humide des Côtes-d'Armor grâce à l'humidité élevée et les précipitations abondantes, mais la salinité sur le littoral et les zones ombragées peuvent poser des défis.
anthurium;anthurium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;L'anthurium n'est pas adapté au climat océanique humide des Côtes-d'Armor en raison de la forte humidité et des précipitations abondantes, qui peuvent être excessives pour cette plante. De plus, la salinité du littoral exposé aux embruns pose un risque pour une plante peu tolérante au sel.;6 - L'anthurium n'est pas adapté au climat océanique humide des Côtes-d'Armor en raison de la forte humidité et des précipitations abondantes, qui peuvent être excessives pour cette plante. De plus, la salinité du littoral exposé aux embruns pose un risque pour une plante peu tolérante au sel.
asparagus fern;asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;L'asparagus fern s'adapte bien au climat océanique humide des Côtes-d'Armor grâce à la forte humidité et les précipitations abondantes, mais elle pourrait être sensible aux embruns salins sur le littoral exposé.;[7] - L'asparagus fern s'adapte bien au climat océanique humide des Côtes-d'Armor grâce à la forte humidité et les précipitations abondantes, mais elle pourrait être sensible aux embruns salins sur le littoral exposé.
bamboo palm;bamboo palm est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;8;La bamboo palm est adaptée au climat océanique humide des Côtes-d'Armor grâce à sa tolérance à l'humidité et ses besoins modérés en ensoleillement, bien que la salinité du littoral puisse poser des défis.;8 - La bamboo palm est adaptée au climat océanique humide des Côtes-d'Armor grâce à sa tolérance à l'humidité et ses besoins modérés en ensoleillement, bien que la salinité du littoral puisse poser des défis.
begonia;begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;7;La begonia préfère une exposition en plein soleil et une forte humidité, ce qui correspond bien au climat océanique humide des Côtes-d'Armor. Cependant, sa sensibilité à la sécheresse et son faible tolérance au sel limitent légèrement sa compatibilité avec les conditions locales.;7 - La begonia préfère une exposition en plein soleil et une forte humidité, ce qui correspond bien au climat océanique humide des Côtes-d'Armor. Cependant, sa sensibilité à la sécheresse et son faible tolérance au sel limitent légèrement sa compatibilité avec les conditions locales.
bird's nest fern;bird's nest fern est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La bird's nest fern peut être cultivée en extérieur dans les Côtes-d'Armor grâce au climat océanique humide et aux précipitations abondantes, mais elle pourrait souffrir de l'exposition aux embruns salins sur le littoral.;[6] - La bird's nest fern peut être cultivée en extérieur dans les Côtes-d'Armor grâce au climat océanique humide et aux précipitations abondantes, mais elle pourrait souffrir de l'exposition aux embruns salins sur le littoral.
bleeding heart;bleeding heart est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La bleeding heart peut être cultivée en extérieur dans les Côtes-d'Armor grâce au climat océanique humide et aux précipitations abondantes, mais elle pourrait souffrir de l'exposition aux embruns salins sur le littoral.;[6] - La bleeding heart peut être cultivée en extérieur dans les Côtes-d'Armor grâce au climat océanique humide et aux précipitations abondantes, mais elle pourrait souffrir de l'exposition aux embruns salins sur le littoral.
boxwood;boxwood est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le boxwood peut être cultivé en extérieur dans les Côtes-d’Armor grâce au climat océanique humide et la présence de zones ombragées, mais il peut souffrir de l'exposition aux embruns salins et de la faible tolérance à la sécheresse.;[6] - Le boxwood peut être cultivé en extérieur dans les Côtes-d’Armor grâce au climat océanique humide et la présence de zones ombragées, mais il peut souffrir de l'exposition aux embruns salins et de la faible tolérance à la sécheresse.
cast-iron plant;cast-iron plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La cast-iron plant s'adapte au climat océanique humide des Côtes-d'Armor, mais sa tolérance limitée au sel et ses besoins en arrosage modéré peuvent poser des défis le long du littoral exposé aux embruns.;[7] - La cast-iron plant s'adapte au climat océanique humide des Côtes-d'Armor, mais sa tolérance limitée au sel et ses besoins en arrosage modéré peuvent poser des défis le long du littoral exposé aux embruns.
chamaedorea;chamaedorea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;Ce département a un climat océanique humide favorable pour la chamaedorea, mais l'humidité élevée et la salinité sur le littoral sont des facteurs défavorables.;[6] - Ce département a un climat océanique humide favorable pour la chamaedorea, mais l'humidité élevée et la salinité sur le littoral sont des facteurs défavorables.
Chinese evegreen;Chinese evegreen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La Chinese evegreen est bien adaptée au climat océanique humide des Côtes-d'Armor, avec une forte humidité et des précipitations abondantes. Cependant, l'ensoleillement modéré et la salinité sur le littoral pourraient nécessiter un emplacement protégé pour une culture en extérieur.;[7] - La Chinese evegreen est bien adaptée au climat océanique humide des Côtes-d'Armor, avec une forte humidité et des précipitations abondantes. Cependant, l'ensoleillement modéré et la salinité sur le littoral pourraient nécessiter un emplacement protégé pour une culture en extérieur.
christplant;christplant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;Le christplant est modérément adapté aux Côtes-d'Armor en raison du climat océanique humide qui convient à ses besoins en humidité, mais l'exposition en plein soleil et la salinité sur le littoral peuvent poser des défis.;[5] - Le christplant est modérément adapté aux Côtes-d'Armor en raison du climat océanique humide qui convient à ses besoins en humidité, mais l'exposition en plein soleil et la salinité sur le littoral peuvent poser des défis.
chrysanthemum;chrysanthemum est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Ce chrysanthemum peut s'adapter au climat océanique humide des Côtes-d'Armor, mais l'exposition modérée à la salinité et les zones ombragées peuvent poser des défis.;[7] - Ce chrysanthemum peut s'adapter au climat océanique humide des Côtes-d'Armor, mais l'exposition modérée à la salinité et les zones ombragées peuvent poser des défis.
climbing fig;climbing fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La climbing fig peut s'adapter au climat océanique humide des Côtes-d'Armor, mais la salinité du littoral et les besoins fréquents en arrosage peuvent poser des défis.;[6] - La climbing fig peut s'adapter au climat océanique humide des Côtes-d'Armor, mais la salinité du littoral et les besoins fréquents en arrosage peuvent poser des défis.
columnea;columnea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Cette plante est adaptée grâce au climat océanique humide et à la salinité modérée, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.;[6] - Cette plante est adaptée grâce au climat océanique humide et à la salinité modérée, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.
croton;croton est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le croton peut être cultivé en extérieur dans les Côtes-d'Armor grâce au climat océanique humide et la salinité du littoral, mais l'ensoleillement modéré et les précipitations abondantes peuvent nécessiter un abri ou une protection contre l'excès d'humidité.;6 - Le croton peut être cultivé en extérieur dans les Côtes-d'Armor grâce au climat océanique humide et la salinité du littoral, mais l'ensoleillement modéré et les précipitations abondantes peuvent nécessiter un abri ou une protection contre l'excès d'humidité.
"cryptanthus,""cryptanthus est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;6;"""Le climat océanique humide des Côtes-d'Armor est favorable pour la cryptanthus grâce à son humidité élevée et ses précipitations abondantes, mais l'ensoleillement modéré et la présence de zones ombragées peuvent limiter sa croissance.""";"[6] - ""Le climat océanique humide des Côtes-d'Armor est favorable pour la cryptanthus grâce à son humidité élevée et ses précipitations abondantes, mais l'ensoleillement modéré et la présence de zones ombragées peuvent limiter sa croissance."""
cuphea;cuphea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante annuelle.;6;Le climat océanique humide des Côtes-d'Armor est favorable pour la cuphea grâce à ses précipitations abondantes et sa forte humidité, mais l'ensoleillement modéré et la salinité sur le littoral peuvent limiter son développement.;6 - Le climat océanique humide des Côtes-d'Armor est favorable pour la cuphea grâce à ses précipitations abondantes et sa forte humidité, mais l'ensoleillement modéré et la salinité sur le littoral peuvent limiter son développement.
cyclamen;cyclamen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le climat océanique humide des Côtes-d'Armor convient aux cyclamens grâce à son humidité élevée et ses précipitations abondantes, mais l'ensoleillement modéré et la salinité sur le littoral rendent la culture moins idéale.;[6] - Le climat océanique humide des Côtes-d'Armor convient aux cyclamens grâce à son humidité élevée et ses précipitations abondantes, mais l'ensoleillement modéré et la salinité sur le littoral rendent la culture moins idéale.
cymbalaria;cymbalaria est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;7;La cymbalaria s'adapte au climat océanique humide des Côtes-d'Armor grâce à son arrosage modéré et sa tolérance à la forte humidité, mais son intolerance à la sécheresse limite son score.;7 - La cymbalaria s'adapte au climat océanique humide des Côtes-d'Armor grâce à son arrosage modéré et sa tolérance à la forte humidité, mais son intolerance à la sécheresse limite son score.
delta maidenhair fern;delta maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante vivace.;7;Le delta maidenhair fern peut s'adapter au climat océanique humide des Côtes-d'Armor grâce à sa tolérance à la sécheresse et ses besoins modérés en lumière, mais la salinité du littoral et l'humidité élevée peuvent poser des défis.;7 - Le delta maidenhair fern peut s'adapter au climat océanique humide des Côtes-d'Armor grâce à sa tolérance à la sécheresse et ses besoins modérés en lumière, mais la salinité du littoral et l'humidité élevée peuvent poser des défis.
"desert rose,""desert rose est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.""";;6;La desert rose tolère bien la sécheresse et l'exposition au sel, mais le climat océanique humide des Côtes-d'Armor n'est pas idéal pour ses besoins en ensoleillement modéré.;[6] - La desert rose tolère bien la sécheresse et l'exposition au sel, mais le climat océanique humide des Côtes-d'Armor n'est pas idéal pour ses besoins en ensoleillement modéré.
dracaena;dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;La dracena tolère la forte humidité et l'ensoleillement modéré des Côtes-d'Armor, mais sa faible tolérance au sel limite sa culture près du littoral exposé aux embruns.;6 - La dracena tolère la forte humidité et l'ensoleillement modéré des Côtes-d'Armor, mais sa faible tolérance au sel limite sa culture près du littoral exposé aux embruns.
dragontree;dragontree est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;7;Le climat océanique humide des Côtes-d'Armor convient à la dragontree grâce à son arrosage modéré et sa tolérance à l'humidité, mais l'ensoleillement modéré pourrait limiter sa floraison.;7 - Le climat océanique humide des Côtes-d'Armor convient à la dragontree grâce à son arrosage modéré et sa tolérance à l'humidité, mais l'ensoleillement modéré pourrait limiter sa floraison.
dumb cane;dumb cane est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse modérément. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;4;La dumb cane préfère un climat tropical et ne tolère pas la sécheresse, ce qui est incompatible avec l'humidité élevée et les précipitations abondantes des Côtes-d'Armor. De plus, elle est peu tolérante au sel présent sur le littoral.;[4] - La dumb cane préfère un climat tropical et ne tolère pas la sécheresse, ce qui est incompatible avec l'humidité élevée et les précipitations abondantes des Côtes-d'Armor. De plus, elle est peu tolérante au sel présent sur le littoral.
