Plante;Description;Note;Details;Answer
aloe;aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;8;La plante aloe s'adapte bien au climat océanique tempéré de l'Ille-et-Vilaine grâce à sa tolérance à la sécheté et son aptitude à supporter des précipitations modérées, mais attention aux zones fraîches qui pourraient être moins favorables.;[8] - La plante aloe s'adapte bien au climat océanique tempéré de l'Ille-et-Vilaine grâce à sa tolérance à la sécheté et son aptitude à supporter des précipitations modérées, mais attention aux zones fraîches qui pourraient être moins favorables.
Amazon lily;Amazon lily est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle requiert des soins exigeants. Son entretien est facile. C’est une plante vivace.;8;L'Amazon lily peut s'adapter au climat océanique tempéré de l'Ille-et-Vilaine grâce à ses précipitations modérées et son humidité présente, bien que l'ensoleillement modéré et les zones fraîches puissent nécessiter une attention particulière.;8 - L'Amazon lily peut s'adapter au climat océanique tempéré de l'Ille-et-Vilaine grâce à ses précipitations modérées et son humidité présente, bien que l'ensoleillement modéré et les zones fraîches puissent nécessiter une attention particulière.
Amazonian elephant's ear;Amazonian elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle requiert des soins exigeants. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;4;Cette plante est tropicale et ne tolère pas bien la sécheresse, ce qui la rend moins adaptée au climat océanique tempéré de l'Ille-et-Vilaine avec ses précipitations modérées.;[4] - Cette plante est tropicale et ne tolère pas bien la sécheresse, ce qui la rend moins adaptée au climat océanique tempéré de l'Ille-et-Vilaine avec ses précipitations modérées.
angel wings;angel wings est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;L'angel wings peut être cultivée en extérieur dans l'Ille-et-Vilaine grâce au climat océanique tempéré et l'humidité modérée, mais elle est sensible à la sécheresse, ce qui pourrait poser des problèmes pendant les périodes sèches.;6 - L'angel wings peut être cultivée en extérieur dans l'Ille-et-Vilaine grâce au climat océanique tempéré et l'humidité modérée, mais elle est sensible à la sécheresse, ce qui pourrait poser des problèmes pendant les périodes sèches.
angelwing begonia;angelwing begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;5;L'angelwing begonia peut être cultivée en extérieur dans l'Ille-et-Vilaine grâce au climat océanique tempéré et les précipitations modérées, mais sa sensibilité à la sécheresse limite son adaptation.;[5] - L'angelwing begonia peut être cultivée en extérieur dans l'Ille-et-Vilaine grâce au climat océanique tempéré et les précipitations modérées, mais sa sensibilité à la sécheresse limite son adaptation.
anthurium;anthurium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;L'anthurium peut être cultivé en extérieur dans l'Ile-et-Vilaine grâce au climat océanique tempéré et l'humidité modérée, mais il sera sensible aux quelques zones fraîches et nécessitera une protection contre la sécheresse.;[6] - L'anthurium peut être cultivé en extérieur dans l'Ile-et-Vilaine grâce au climat océanique tempéré et l'humidité modérée, mais il sera sensible aux quelques zones fraîches et nécessitera une protection contre la sécheresse.
asparagus fern;asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Le climat océanique tempéré de l'Ille-et-Vilaine est favorable pour l'asparagus fern, mais la plante pourrait souffrir des quelques zones fraîches et de l'humidité modérée.;7 - Le climat océanique tempéré de l'Ille-et-Vilaine est favorable pour l'asparagus fern, mais la plante pourrait souffrir des quelques zones fraîches et de l'humidité modérée.
bamboo palm;bamboo palm est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;6;Le bambou palm peut s'adapter au climat océanique tempéré de l'Ille-et-Vilaine, mais sa sensibilité à la sécheresse et ses besoins en humidité sont des facteurs qui nécessitent une attention particulière.;[6] - Le bambou palm peut s'adapter au climat océanique tempéré de l'Ille-et-Vilaine, mais sa sensibilité à la sécheresse et ses besoins en humidité sont des facteurs qui nécessitent une attention particulière.
begonia;begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;Le begonia peut être cultivé en extérieur dans l'Ile-et-Vilaine grâce au climat océanique tempéré et les précipitations modérées, mais sa sensibilité à la sécheresse et son faible tolérance au sel limitent sa compatibilité.;[6] - Le begonia peut être cultivé en extérieur dans l'Ile-et-Vilaine grâce au climat océanique tempéré et les précipitations modérées, mais sa sensibilité à la sécheresse et son faible tolérance au sel limitent sa compatibilité.
bird's nest fern;bird's nest fern est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;4;La bird's nest fern préfère un climat tropical et ne tolère pas bien la sécheresse, ce qui rend son adaptation au climat océanique tempéré de l'Ille-et-Vilaine difficile malgré une humidité modérée.;[4] - La bird's nest fern préfère un climat tropical et ne tolère pas bien la sécheresse, ce qui rend son adaptation au climat océanique tempéré de l'Ille-et-Vilaine difficile malgré une humidité modérée.
