Plante;Description;Note;Details;Answer
aloe;aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;8;L'aloe peut s'adapter au climat océanique humide de la Mayenne grâce à sa tolérance à la sécheresse et ses besoins modérés en arrosage, mais elle pourrait souffrir des zones fraîches et ombragées.;8 - L'aloe peut s'adapter au climat océanique humide de la Mayenne grâce à sa tolérance à la sécheresse et ses besoins modérés en arrosage, mais elle pourrait souffrir des zones fraîches et ombragées.
Amazon lily;Amazon lily est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle requiert des soins exigeants. Son entretien est facile. C’est une plante vivace.;7;La plante peut s'adapter à l'humidité élevée et les précipitations régulières du climat océanique, mais l'ensoleillement modéré et les zones fraîches peuvent poser des défis.;[7] - La plante peut s'adapter à l'humidité élevée et les précipitations régulières du climat océanique, mais l'ensoleillement modéré et les zones fraîches peuvent poser des défis.
Amazonian elephant's ear;Amazonian elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle requiert des soins exigeants. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;L'Amazonian elephant's ear est peu adaptée au climat océanique humide de la Mayenne, en raison de ses besoins en humidité constante et de sa sensibilité à la sécheresse. Les précipitations régulières et l'humidité élevée sont favorables, mais l'ensoleillement modéré et les zones fraîches peuvent poser des défis.;5 - L'Amazonian elephant's ear est peu adaptée au climat océanique humide de la Mayenne, en raison de ses besoins en humidité constante et de sa sensibilité à la sécheresse. Les précipitations régulières et l'humidité élevée sont favorables, mais l'ensoleillement modéré et les zones fraîches peuvent poser des défis.
angel wings;angel wings est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Cette plante est adaptée au climat océanique humide du Mayenne grâce à son humidité élevée et ses précipitations régulières, mais elle pourrait souffrir des zones fraîches et ombragées en forêt.;[6] - Cette plante est adaptée au climat océanique humide du Mayenne grâce à son humidité élevée et ses précipitations régulières, mais elle pourrait souffrir des zones fraîches et ombragées en forêt.
angelwing begonia;angelwing begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;5;La plante est adaptée au climat océanique humide de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais ne tolère pas bien la sécheresse et pourrait être affectée par les zones fraîches.;5 - La plante est adaptée au climat océanique humide de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais ne tolère pas bien la sécheresse et pourrait être affectée par les zones fraîches.
anthurium;anthurium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;7;L'anthurium s'adapte à l'humidité élevée et les précipitations régulières du climat océanique de la Mayenne, mais sa sensibilité à la sécheresse et sa faible tolérance au sel limitent sa compatibilité.;7 - L'anthurium s'adapte à l'humidité élevée et les précipitations régulières du climat océanique de la Mayenne, mais sa sensibilité à la sécheresse et sa faible tolérance au sel limitent sa compatibilité.
asparagus fern;asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Cette plante est adaptée au climat océanique humide du département de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais elle pourrait souffrir des températures fraîches et modérées ensoleillement.;[7] - Cette plante est adaptée au climat océanique humide du département de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais elle pourrait souffrir des températures fraîches et modérées ensoleillement.
bamboo palm;bamboo palm est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;5;Le bambou palm n'est pas idéal pour l'extérieur dans la Mayenne en raison du climat océanique humide qui ne correspond pas à ses besoins tropicaux, mais il peut survivre grâce aux précipitations régulières et l'humidité élevée.;5 - Le bambou palm n'est pas idéal pour l'extérieur dans la Mayenne en raison du climat océanique humide qui ne correspond pas à ses besoins tropicaux, mais il peut survivre grâce aux précipitations régulières et l'humidité élevée.
begonia;begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;5;La begonia est mal adaptée au climat océanique humide de la Mayenne en raison de son besoin d'un ensoleillement modéré et de son intolérance à la sécheresse, bien que l'humidité élevée soit favorable.;[5] - La begonia est mal adaptée au climat océanique humide de la Mayenne en raison de son besoin d'un ensoleillement modéré et de son intolérance à la sécheresse, bien que l'humidité élevée soit favorable.
bird's nest fern;bird's nest fern est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La bird's nest fern préfère les conditions tropicales mais peut tolérer un climat océanique humide comme celui de la Mayenne, bien que l'ensoleillement modéré et les zones fraîches soient moins idéales.;6 - La bird's nest fern préfère les conditions tropicales mais peut tolérer un climat océanique humide comme celui de la Mayenne, bien que l'ensoleillement modéré et les zones fraîches soient moins idéales.
