Plante;Description;Note;Details;Answer
aloe;aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La plante aloe s'adapte bien au climat océanique doux du Morbihan grâce à sa tolérance à la sécheresse et à l'humidité présente, mais son adaptation est modérée en raison de la salinité côtière qui peut limiter sa croissance.;7 - La plante aloe s'adapte bien au climat océanique doux du Morbihan grâce à sa tolérance à la sécheresse et à l'humidité présente, mais son adaptation est modérée en raison de la salinité côtière qui peut limiter sa croissance.
Amazon lily;Amazon lily est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle requiert des soins exigeants. Son entretien est facile. C’est une plante vivace.;7;La Amazon lily est bien adaptée au climat océanique doux du Morbihan grâce à son besoin modéré en humidité et sa tolérance aux environnements légèrement salins, mais elle pourrait souffrir des précipitation régulières et de l'ensoleillement modéré.;7 - La Amazon lily est bien adaptée au climat océanique doux du Morbihan grâce à son besoin modéré en humidité et sa tolérance aux environnements légèrement salins, mais elle pourrait souffrir des précipitation régulières et de l'ensoleillement modéré.
Amazonian elephant's ear;Amazonian elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle requiert des soins exigeants. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le climat océanique doux du Morbihan convient à l'Amazonian elephant's ear grâce à son humidité bien présente et ses précipitations régulières, mais la forte salinité côtière et le modéré ensoleillement peuvent poser des défis.;[6] - Le climat océanique doux du Morbihan convient à l'Amazonian elephant's ear grâce à son humidité bien présente et ses précipitations régulières, mais la forte salinité côtière et le modéré ensoleillement peuvent poser des défis.
angel wings;angel wings est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;La plante angel wings est adaptée au climat océanique doux du Morbihan grâce à son humidité bien présente et ses précipitations régulières, mais sa faible tolérance au sel et la salinité côtière sont des inconvénients.;5 - La plante angel wings est adaptée au climat océanique doux du Morbihan grâce à son humidité bien présente et ses précipitations régulières, mais sa faible tolérance au sel et la salinité côtière sont des inconvénients.
angelwing begonia;angelwing begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;Ce begonia est adapté au climat océanique doux du Morbihan grâce à l'humidité bien présente et les précipitations régulières, mais sa faible tolérance au sel et la salinité côtière rendent certains emplacements moins favorables.;[6] - Ce begonia est adapté au climat océanique doux du Morbihan grâce à l'humidité bien présente et les précipitations régulières, mais sa faible tolérance au sel et la salinité côtière rendent certains emplacements moins favorables.
anthurium;anthurium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;Le climat océanique doux du Morbihan est favorable pour l'anthurium grâce à son humidité bien présente et ses précipitations régulières, mais la forte salinité côtière et le besoin modéré de lumière peuvent poser des défis.;6 - Le climat océanique doux du Morbihan est favorable pour l'anthurium grâce à son humidité bien présente et ses précipitations régulières, mais la forte salinité côtière et le besoin modéré de lumière peuvent poser des défis.
asparagus fern;asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;Cette plante est adaptable à l'humidité et aux précipitations régulières du Morbihan, mais sa faible tolérance au sel et son besoin modéré de lumière peuvent poser des problèmes dans les zones côtières salines.;[6] - Cette plante est adaptable à l'humidité et aux précipitations régulières du Morbihan, mais sa faible tolérance au sel et son besoin modéré de lumière peuvent poser des problèmes dans les zones côtières salines.
bamboo palm;bamboo palm est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;8;Le bambou palm peut s'adapter au climat océanique doux du Morbihan grâce à une humidité bien présente et des précipitations régulières, mais il pourrait être sensible à la salinité côtière.;8 - Le bambou palm peut s'adapter au climat océanique doux du Morbihan grâce à une humidité bien présente et des précipitations régulières, mais il pourrait être sensible à la salinité côtière.
begonia;begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;Le Begonia peut être cultivé en extérieur dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais la forte salinité côtière et la tolérance limitée à la sécheresse sont des obstacles.;[6] - Le Begonia peut être cultivé en extérieur dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais la forte salinité côtière et la tolérance limitée à la sécheresse sont des obstacles.
bird's nest fern;bird's nest fern est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;Cette plante est adaptée au climat océanique doux du Morbihan grâce à l'humidité bien présente et les précipitations régulières, mais sa faible tolérance au sel et son besoin de plein soleil limitent sa compatibilité.;[6] - Cette plante est adaptée au climat océanique doux du Morbihan grâce à l'humidité bien présente et les précipitations régulières, mais sa faible tolérance au sel et son besoin de plein soleil limitent sa compatibilité.
