Region,Description
Hauts-de-France,"Région au climat océanique frais et humide, avec peu d'ensoleillement, peu de sécheresse, et une influence saline sur le littoral."
Normandie,"Climat doux, humide et souvent nuageux, avec une forte présence d'embruns sur les côtes et peu de périodes de sécheresse."
Bretagne,"Région au climat océanique doux et très humide, soumise aux vents marins et à une salinité notable sur le littoral, avec un ensoleillement modéré."
Île-de-France,"Climat tempéré à tendance continentale, modérément ensoleillé, avec une humidité variable et des périodes occasionnelles de sécheresse estivale."
Grand Est,"Région au climat continental marqué, avec des hivers froids, des étés parfois secs, une humidité modérée et un bon ensoleillement en été."
Bourgogne-Franche-Comté,"Climat semi-continental, caractérisé par des hivers froids, des étés chauds et secs, et une alternance d'humidité et d'ensoleillement."
Centre-Val de Loire,"Climat tempéré avec une bonne exposition au soleil, une humidité modérée et des épisodes de sécheresse fréquents en été."
Pays de la Loire,"Région au climat océanique doux, assez ensoleillé, avec une humidité présente mais moins marquée que sur le littoral breton."
Nouvelle-Aquitaine,"Climat très varié, allant de l'océanique humide au nord au climat plus sec et ensoleillé au sud, avec de fortes influences maritimes sur la côte."
Occitanie,"Climat majoritairement méditerranéen au sud (chaud, sec, ensoleillé), plus océanique à l'ouest, avec des zones très exposées à la sécheresse estivale."
Auvergne-Rhône-Alpes,"Région aux climats contrastés : montagneux (froid, humide, ombragé) dans les Alpes et le Massif central, et plus chaud et sec dans les vallées."
Provence-Alpes-Côte d'Azur,"Climat méditerranéen très ensoleillé, chaud et sec, avec une forte sécheresse estivale, une faible humidité et une salinité présente sur le littoral."
Corse,"Climat méditerranéen, très ensoleillé et sec, avec des vents marins salins sur les côtes et des zones plus fraîches et ombragées en montagne."
