code_insee,nom_standard,reg_code,reg_nom,dep_code,dep_nom,latitude_centre,longitude_centre
22001,Allineuc,53,Bretagne,22,Côtes-d'Armor,48.311,-2.867
22002,Andel,53,Bretagne,22,Côtes-d'Armor,48.494,-2.551
22003,Aucaleuc,53,Bretagne,22,Côtes-d'Armor,48.451,-2.127
22004,Bégard,53,Bretagne,22,Côtes-d'Armor,48.635,-3.292
22005,Belle-Isle-en-Terre,53,Bretagne,22,Côtes-d'Armor,48.531,-3.382
22006,Berhet,53,Bretagne,22,Côtes-d'Armor,48.698,-3.309
22008,Bobital,53,Bretagne,22,Côtes-d'Armor,48.414,-2.097
22009,Le Bodéo,53,Bretagne,22,Côtes-d'Armor,48.326,-2.922
22011,Boqueho,53,Bretagne,22,Côtes-d'Armor,48.468,-2.985
22012,La Bouillie,53,Bretagne,22,Côtes-d'Armor,48.584,-2.442
22013,Bourbriac,53,Bretagne,22,Côtes-d'Armor,48.466,-3.2
22014,Bourseul,53,Bretagne,22,Côtes-d'Armor,48.467,-2.265
22015,Bréhand,53,Bretagne,22,Côtes-d'Armor,48.394,-2.589
22016,Île-de-Bréhat,53,Bretagne,22,Côtes-d'Armor,48.851,-3.001
22018,Brélidy,53,Bretagne,22,Côtes-d'Armor,48.649,-3.228
22019,Bringolo,53,Bretagne,22,Côtes-d'Armor,48.577,-3.006
22020,Broons,53,Bretagne,22,Côtes-d'Armor,48.311,-2.241
22021,Brusvily,53,Bretagne,22,Côtes-d'Armor,48.394,-2.117
22023,Bulat-Pestivien,53,Bretagne,22,Côtes-d'Armor,48.435,-3.333
22024,Calanhel,53,Bretagne,22,Côtes-d'Armor,48.441,-3.476
22025,Callac,53,Bretagne,22,Côtes-d'Armor,48.422,-3.416
22026,Calorguen,53,Bretagne,22,Côtes-d'Armor,48.405,-2.026
22027,Le Cambout,53,Bretagne,22,Côtes-d'Armor,48.059,-2.621
22028,Camlez,53,Bretagne,22,Côtes-d'Armor,48.783,-3.316
22029,Canihuel,53,Bretagne,22,Côtes-d'Armor,48.337,-3.096
22030,Caouënnec-Lanvézéac,53,Bretagne,22,Côtes-d'Armor,48.706,-3.368
22031,Carnoët,53,Bretagne,22,Côtes-d'Armor,48.36,-3.532
22032,Caulnes,53,Bretagne,22,Côtes-d'Armor,48.302,-2.161
22033,Caurel,53,Bretagne,22,Côtes-d'Armor,48.218,-3.039
22034,Cavan,53,Bretagne,22,Côtes-d'Armor,48.683,-3.353
22035,Les Champs-Géraux,53,Bretagne,22,Côtes-d'Armor,48.426,-1.978
22036,La Chapelle-Blanche,53,Bretagne,22,Côtes-d'Armor,48.268,-2.129
22037,La Chapelle-Neuve,53,Bretagne,22,Côtes-d'Armor,48.466,-3.441
22039,La Chèze,53,Bretagne,22,Côtes-d'Armor,48.135,-2.663
22040,Coadout,53,Bretagne,22,Côtes-d'Armor,48.515,-3.179
